account_username,view,medView,engagement
Chillpainai,2323206,1500.5,667
FeelingRock,2414177,38228,690
UDiEX2,6618599,1004460,3550
หม่อมถนัดแดก,6726404,1063562.5,2544
108Life,3906259,498536.5,567
HeHaa TV,7057462,862852,5808
MonDEV,2906773,782711,2962
10kcalmuscle,6815443,189259,2317
กินได้อร่อยด้วย,6458762,119235.5,1824
รถซิ่งไทยแลนด์ (RodzingThailand),2371084,140474,627
SkizzTV,2260498,682711,4162
HEARTROCKER,4246698,789329,3349
ทําเอง กินเอง Byแม่Milko_o,2985259,30013,1935
โคตรคูล,2373185,352211,3190
Meijimill,4457341,1016531,2325
beartai,2532953,14263,8013
zbing z.,9136280,1544112.5,5545
sixpackclub.net,2809204,9958,438
กาย หงิด,3726618,927928,1638
My Mate Nate,5911366,936361,5498
Buffet Channel,14381538,180995,248
PEACH EAT LAEK,11829384,1176700.5,5113
IceBank Diary,5170236,94871,1529
The Moof,2272624,41232,2023
Guy Haru Family,4324871,61059,0
ไทยสุรินทร์ กินแซบๆ,2724026,307,1963
KidsOnCloud,2978542,107073,0
King SoYer,3775498,619803,2093
CGGG,5097902,584050,4386
Arainy,6311548,143472.5,3939
อร่อยนัวร์ [Aroy N],2437878,59803,3467
Antoine Pinto - อองตวน ปินโต,2777982,62295,2671
MR.Kyoro Danger,2804071,98917,345
Gluta Story,1603076,259024,1921
Ozrealman,5227380,1050361,6147
MOV Studio,2503749,674281.5,1399
YimYam TV,29199147,814160,0
I Roam Alone,3246865,842749,2675
XO Autosport,3274700,24099.5,1131
CHUJAI FAMILY,1829527,14564,0
ple nakorn CHANNEL,2833485,386258,2632
Kaykai Salaider,16151780,5169848,26273
VRZOchannel,2899063,385359,1100
djpetjah channel,3033967,450567,1137
Ajumma Nammy,3266688,907051.5,2140
Sean Buranahiran - ฌอน บูรณะหิรัญ,4002731,95811,1950
Fit Kab Dao,5282773,22494.5,1653
BEBE FIT ROUTINE,3502991,185930.5,780
MUJI SAMA,2749386,51734.5,4331
Kyutae Oppa,16215289,1029440,33249
SoftpomzChannel,3233474,368315,2851
PRIMKUNG,3668726,661476,3459
Chickypie,3466965,373001,3192
Brianna's Secret Club TH,9408238,529234,0
Thanks For Watching,4560354,316220,554
ป้าหนึ่ง ตึ่งโป๊ะ,2753703,73011,1539
Sprite Salaider,10974495,3154205.5,4381
KRK Studio,3733278,358045,0
N NEXT CH,2544899,42454,1026
จดอ - JUSTดูIT.,3616700,123857.5,2703
DZee Studio,2644351,57327.5,454
Bie The Ska,23850362,1250067,9542
MinuteVideos Thailand,2333428,52563,503
MNJ TV,11094179,920955.5,9825
Malinda Herman Official,4245435,18840.5,21951
The snack,3587710,715049,10029
BoomTharis,2843291,289223,6133
MOJIKO,3571981,514895,3709
กิต งายย,2761886,517022.5,1695
ohana clip,8175108,1064282.5,7719
DrAmp Team,1977111,58752,733
MyQuest,2964001,93718,3309
Bearhug,3663663,1065498.5,1803
Kim Property Live,860141,58068,486
DJ.DREAMERTH,3114346,136486,5107
Skylaxy Channel,4578303,430085,720
Life of Cars Bkk - ตามติดชีวิต 4 ล้อ,2342994,168099,974
MAY DevilMeiji,13353482,65793,3765
tigercrychannel,3026238,558199,1397
โอ หงิด,4296108,146234,2961
Nobi,5032916,59218,3078
1412,10302945,821009,24974
Dek Jew Chill Out,5686039,510922,0
CarDebuts,1932190,58937,1828
IceBarBer,4360260,263214,2010
กับข้าวกับปลาโอ PlaoCooking,7013192,175864,1112
SPOOKY TV,4041533,799233.5,1804
GoyNattyDream Channel,4993231,940691,11825
TAE,10550105,247425,1330
สะใภ้เกาหลี by korean,3711785,970253,2854
Epic Time,5938332,1528312,6145
SAN CE,3333556,293650.5,2062
เฉลิมศรี,6817828,377639,4008
Pit Start,1321017,59198,1114
จอนนี่ แมวศุภลักษณ์,4305981,2215.5,3466
TOR Torpedo,13952179,1174056,1801
SorDor Style,2360552,387331,2486
กินไปไทยหรั่ง,4733018,324357,1892
SANDEE CH,3799942,262897.5,2408
ข้าวจ้าว หมากวนตีน,1443370,152496,1028
zommarie,3450116,296691,1660
LowGrade,10574529,427283,10474
Mark Wiens,5549703,1488389.5,6764
ครูนกเล็ก,13832885,233316,1
Salaider Esport,3037880,50398,1685
Kanomroo,9989655,52357,1539
PojzPlaza,5076278,1110937,3238
